type,question,answer,ground_truth_context,source,page_range
Reasoning,2024년 4분기 기준 자동차 수출액이 전년동기대비 감소(-3.5%)한 주된 원인은 무엇인가요?,"2024년 4분기에는 수출 대수는 북미 이외 지역을 중심으로 소폭(+0.4%) 증가했으나, 수출단가가 하락하면서 전체 수출액은 전년동기대비 -3.5%로 감소했습니다. 구체적으로는 북미 지역으로의 수출이 기저효과와 부품공급 차질 등의 영향으로 감소(판매대수 -6.4%, 수출액 -13.4%)했고, 전기차 수출이 전기차 캐즘 및 현지생산 확대 등으로 크게 감소(전기차 수출 -40.9%)한 점이 수출액 하락에 기여했습니다. 반면 하이브리드차는 수출이 큰 폭으로 증가(+51%)하여 일부 보완했으나 전체 수출액 감소를 상쇄하기에는 부족했습니다.","3. 수출(대수)은 북미 이외 지역을 중심으로 소폭(+0.4%) 증가하였으나, 수출단가 하락으로 수출액은 감소세(-3.5%)를 이어갔다.
지역별로 보면, 북미지역(판매대수 -6.4%, 수출액 -13.4%)으로의 수출은 기저효과, 부품공급 차질 등의 영향으로 감소하였다.
하이브리드차 수출(+51%)은 큰 폭 증가하였으나, 전기차 수출(-40.9%)은 전기차 캐즘 및 현지생산 확대로 크게 감소하였다.",2024_4사분기_주력산업_모니터링_보고서.pdf,11~13
Visual,2025년 1/4분기 전망(25.1월 전망) 기준으로 '내수'의 전년동기대비 증가율은 얼마로 제시되어 있나요?,2025년 1/4분기 전망(25.1월 전망)에서는 국내 '내수'가 전년동기대비 1.2% 증가할 것으로 제시되어 있습니다(동 차트의 25.1월 전망 바: 내수 +1.2%). 이 전망은 같은 도표에서 제시된 생산 전망(25.1월: -1.8%)과 함께 향후 내수 회복은 있으나 생산은 감소할 것으로 예상됨을 시사합니다.,"【그림 2.7】 2025년 국내 자동차 생산·내수판매 전망
(생산) 24.10월 전망 -1.0  / 25.1월 전망 -1.8
(내수) 24.10월 전망 1.7  / 25.1월 전망 1.2  (401만대) (160만대)",2024_4사분기_주력산업_모니터링_보고서.pdf,11~13
Simple,2024년 2/4분기 기준 반도체 수출은 전년동기대비 어떻게 변했나요?,"2024년 2/4분기 기준 반도체 수출은 전년동기대비 크게 증가하였습니다. 구체적으로는 53.5% 증가했고, 이는 메모리반도체 가격 상승세 지속과 고부가가치 메모리반도체의 견조한 수요, 그리고 IT 전방산업 수요 회복 등에 힘입은 결과입니다.","1. 2024년 2/4분기 중 반도체 수출은 메모리반도체 가격 상승세 지속, 고부가가치 메모리반도체의 견조한 수요, IT 전방산업 수요 회복 등에 힘입어 전년동기대비 53.5% 증가하였다.",2024_2사분기_주력산업_모니터링_보고서.pdf,4~6
Reasoning,"2024년 2/4분기 기준 반도체 수출 증가의 주된 원인은 무엇이며, 그 각각이 어떻게 기여했나요?","2024년 2/4분기 반도체 수출 증가는 주로 메모리반도체 관련 요인들에 기인합니다. 보고서는 메모리반도체의 가격상승세가 지속되면서 메모리 부분이 (+93.6%)로 수출 증가를 주도했으며, 시스템반도체(+13.1%)의 증가도 함께 기여했다고 명시합니다. 요약하면 '메모리반도체 가격 상승'이 수출 증가의 핵심 동인이고, 여기에 '고부가가치 메모리반도체에 대한 견조한 수요'와 'IT 전방산업의 수요 회복'이 더해져 총수출을 크게 끌어올렸습니다.","메모리반도체(+93.6%)가 수출 증가를 주도한 가운데, 시스템반도체(+13.1%)의 증가도 가세하였다. 이는 메모리반도체 가격 상승세 지속2), 고부가가치 메모리반도체의 견조한 수요, IT 전방산업 수요 회복3)에 주로 기인한다.",2024_2사분기_주력산업_모니터링_보고서.pdf,4~6
Visual,2024년 2/4분기 기준(24.4월말) D램(DDR5 16GB) 고정거래가격($)은 얼마인가요?,보고서의 표에 따르면 2024년 4월말(24.4월말) 기준 D램(DDR5 16GB)의 고정거래가격은 4.65달러입니다. (표의 이전 시점들과 비교하면 24.3월말 4.10달러에서 상승한 수치로 제시되어 있습니다.),"5) D램(DDR5 16GB) 및 낸드플래시(MLC 128GB) 고정거래가격($) :
23.9월말   12월말   24.3월말   24.4월말   5월말   6월말   7월말
D램   3.32   3.90   4.10   4.65   4.65   4.65   4.65
낸드플래시   3.82   4.10   4.90   4.90   4.90   4.90   4.90",2024_2사분기_주력산업_모니터링_보고서.pdf,4~6
Simple,2024년 1분기 기준 유연탄 가격은 전년동기대비 어떻게 변화했습니까?,"2024년 1분기 기준 유연탄 가격은 전년동기대비 9.6% 하락하였다. 보고서는 유연탄 가격 하락이 중국 내 수요 부진에 따른 중국 조강생산량 감소 등에 주로 기인한다고 설명하며, 같은 시기 국내 조강생산량도 전년동기대비 감소한 점을 함께 언급하고 있다.","철강제품의 주재료인 철광석 가격은 보합 수준을 유지(전년동기대비 0.8% 상승)하였으며, 유연탄 가격은 전년동기대비 9.6% 하락하였다. 이는 중국 내 수요 부진64에 따른 중국 조강생산량 감소65 등에 주로 기인한다. 국내 조강66생산량은 전년동기대비 3.1% 감소하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Reasoning,2024년 1분기 기준 철강제품 수출금액이 전년동기대비 감소한 주된 원인은 무엇입니까?,"2024년 1분기에는 철강제품의 수출물량이 전년동기대비 3.8% 증가했음에도 불구하고, 수출단가가 크게 하락하면서 수출금액이 전년동기대비 5.6% 감소하였다. 보고서는 수출단가 하락의 주요 원인으로 중국 및 일본산 철강제품과의 경쟁 심화 등을 지적하며, 이로 인해 수출단가가 전년동기대비 9.0% 하락했다고 설명하고 있다.","2024.1/4분기 중 철강제품(MTI 61) 수출(83.2억 달러)은 수출물량 증가에도 불구하고 수출단가 하락의 영향으로 전년동기대비 5.6% 감소하였다. 수출물량은 중국에 대한 물량이 감소(-9.5%)하였으나, 미국(+46.5%), 일본(+6.3%) 및 인도(+14.6%)로의 물량이 증가하면서 전년동기대비 3.8% 증가한 반면, 수출단가는 중국 및 일본산 철강제품과의 경쟁 심화 등으로 전년동기대비 9.0% 하락하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Visual,2024년 1분기 기준 [그림 4.5]에서 표시된 철강제품 수출물량의 전년동기대비 증감률은 얼마입니까?,"그림 4.5(수출물량 및 단가 추이)에서 2024년 1분기 철강제품 수출물량은 전년동기대비 약 3.8% 증가하였다. 이는 대(對)미국, 일본, 인도로의 물량 증가가 있었던 반면 중국으로의 물량은 감소한 가운데(중국 -9.5%, 미국 +46.5%, 일본 +6.3%, 인도 +14.6%) 전체적으로 수출물량이 플러스를 기록한 결과이다.","수출물량은 중국에 대한 물량이 감소(-9.5%)하였으나, 미국(+46.5%), 일본(+6.3%) 및 인도(+14.6%)로의 물량이 증가하면서 전년동기대비 3.8% 증가한 반면, 수출단가는 중국 및 일본산 철강제품과의 경쟁 심화 등으로 전년동기대비 9.0% 하락하였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,19~21
Simple,"2024년 1분기 기준, 보고서는 수출이 전년동기대비 몇 % 증가했다고 명시하고 있나?","보고서는 2024년 1분기 기준 수출이 전년동기대비 12.4% 증가했다고 명시하고 있다. 문맥상 LCD 및 OLED 등 모든 품목에서 수출이 증가했으며, 특히 LCD는 TV 및 모니터 등 전방산업의 수요 개선으로 전년동기대비 46.6%의 상승세를 보였다는 설명이 함께 제시되어 있다.",수출은 작년 하반기 이후 개선세가 지속(전년동기대비 +12.4%)되었다. LCD 및 OLED 등 모든 품목에서 수출이 증가하였다. LCD는 TV 및 모니터 등 전방산업의 수요 개선으로 상승세(전년동기대비 +46.6%)를 이어나갔다.,2024_1사분기_주력산업_모니터링_보고서.pdf,27~29
Reasoning,"2024년 1분기 기준, 보고서에 따르면 대형 OLED 패널이 부진한 주된 원인은 무엇인가?",보고서는 2024년 1분기 기준 대형 OLED 패널의 부진 원인을 고물가·고금리에 따른 소비여력 약화로 보고 있다. 이로 인해 고급형 TV 수요가 감소하였고 그 결과 대형 OLED 패널의 수요와 가격이 약화되어 부진을 보였다고 설명한다. 반면 상대적으로 저렴한 대형 LCD는 수요 증가로 견조한 가격 흐름을 나타냈다.,"대형 디스플레이 패널의 경우 고물가·고금리에 따른 소비여력 약화로 고급형 TV 수요가 감소하면서 대형 OLED는 부진(전년동분기말 대비 -14.0%, 전분기말대비 -5.1%)한 반면 상대적으로 저렴한 대형 LCD는 수요 증가로 견조한 가격 흐름(전년동분기말대비 +35.4%, 전분기말대비 +4.8%)을 보였다.",2024_1사분기_주력산업_모니터링_보고서.pdf,27~29
Visual,"2024년 1분기 기준, [그림 6.6]에 제시된 2024~2028년 제품별 OLED 시장 연평균 성장률(%) 중 태블릿의 수치는 얼마로 표기되어 있나?","그림 6.6에 따르면 2024~2028년 제품별 OLED 시장의 연평균 성장률(%) 중 태블릿은 29.2%로 제시되어 있다. 이 수치는 태블릿용 OLED 침투율이 빠르게 증가할 것으로 예상되며, 관련 설비투자와 수요 확대가 진행될 가능성을 시사한다.","2024~2028년 연평균 성장률(%) 스마트폰 3.9, TV 8.3, 노트북 16.7, 태블릿 29.2",2024_1사분기_주력산업_모니터링_보고서.pdf,27~29
Simple,2024년 4분기(2024년 4/4분기) 기준 석유화학산업의 수익성은 어떠했습니까?,"2024년 4/4분기 기준 석유화학산업의 수익성은 전반적으로 부진했습니다. 보고서는 중국의 자급률 상승, 공급과잉의 지속, 고환율로 인한 원가 상승 등을 원인으로 들며, 이로 인해 국내 주요 석유화학업체들의 4/4분기 수익성이 부진한 것으로 나타났다고 설명하고 있습니다.","3. 4/4분기 중 석유화학산업 수익성은 부진한 것으로 나타났다. 국내 석유화학제품 최대 수요처인 중국의 자급률 상승(52), 공급과잉(53) 지속, 고환율로 인한 원가 상승 등으로 국내 주요 업체의 4/4분기 수익성은 부진(54)한 것으로 나타났다.",2024_4사분기_주력산업_모니터링_보고서.pdf,16~18
Reasoning,"2024년 4분기(2024년 4/4분기) 기준, 석유화학업체들의 수익성이 악화된 주된 원인들은 무엇이며 그 인과관계는 어떻게 설명되나요?","보고서는 2024년 4/4분기 수익성 악화의 주된 원인으로 (1) 최대 수요처인 중국의 자급률 상승, (2) 공급과잉의 지속, (3) 고환율로 인한 원가 상승을 제시합니다. 이들 요인은 다음과 같이 연결됩니다: 중국의 자급률 상승은 대(對)국내 수출 수요를 축소시켜 판매환경을 악화시키고, 공급과잉은 가격 하락 압력을 높여 마진을 감소시키며, 고환율은 수입 원재료비를 끌어올려 원가를 상승시켜 결과적으로 업체들의 영업이익을 압박합니다. 따라서 이 세 가지 요인이 복합적으로 작용해 4/4분기 수익성을 저해했다고 보고서는 분석하고 있습니다.","국내 석유화학제품 최대 수요처인 중국의 자급률 상승(52), 공급과잉(53) 지속, 고환율로 인한 원가 상승 등으로 국내 주요 업체의 4/4분기 수익성은 부진(54)한 것으로 나타났다.",2024_4사분기_주력산업_모니터링_보고서.pdf,16~18
Visual,"2021년 1분기(21.1/4) 기준, 그림 3.3의 석유화학제품 수출(억달러)은 대략 얼마였습니까?","그림 3.3을 보면 2021년 1분기(21.1/4) 석유화학제품 수출액은 막대그래프 상 약 170억 달러 수준으로, 해당 시점에 그래프상 최댓값 근처에 위치합니다.","[그림 3.3] 석유화학제품 수출1)  (억달러)  (전년동기대비, %)",2024_4사분기_주력산업_모니터링_보고서.pdf,16~18
Simple,"2024년 3/4분기 기준, 휴대폰 및 부품 수출의 전년동기대비 증가율은 얼마이며 품목별(완제품·부품)은 각각 어느 정도였는가?","2024년 3/4분기 기준으로 휴대폰 및 부품 수출은 전년동기대비 총 47.7% 증가하였다. 품목별로는 완제품 수출이 19.7% 증가했고, 부품 수출은 55.4% 증가하여 부품 수출이 완제품보다 더 큰 폭으로 늘었다. 이는 완제품과 부품 수출이 모두 증가하면서 전체 증가율을 견인한 결과이다.",2024년 3/4분기 중 휴대폰 및 부품 수출은 완제품(+19.7%) 및 부품(+55.4%) 수출이 모두 늘어나면서 전년동기대비 47.7% 증가하였다.,2024_3사분기_주력산업_모니터링_보고서.pdf,31~33
Reasoning,"2024년 3/4분기 기준, 휴대폰 및 부품 수출이 전년동기대비 크게 증가한 주요 원인은 무엇인가?","2024년 3/4분기 휴대폰 및 부품 수출이 전년동기대비 크게 증가한 주된 원인은 두 가지로 요약된다. 첫째, 완제품 수출은 미국·베트남으로의 수출은 줄었으나 EU로의 수출이 소비 개선과 파리 올림픽의 영향 등으로 크게 늘어나면서 완제품 수출 증가에 기여했다. 둘째, 부품 수출은 애플·화웨이 등 주요 업체의 신제품 출시 영향으로 큰 폭으로 증가하여 전체 휴대폰 수출 증가를 견인했다. 즉, 지역별 수요 개선(특히 EU)과 글로벌 주요 제조사의 신제품 출시가 동시다발적으로 작용한 결과이다.","휴대폰 완제품의 경우 미국·베트남으로의 수출은 줄어들었으나, EU로의 수출이 소비 개선 및 파리 올림픽의 영향80) 등으로 크게 늘어나면서 증가하였다. 휴대폰 부품 수출은 애플, 화웨이 등 주요 업체의 신제품 출시81) 영향으로 큰 폭 늘어나며 전체 휴대폰 수출 증가를 견인하였다.",2024_3사분기_주력산업_모니터링_보고서.pdf,31~33
Visual,"2024년 3/4분기 기준, [그림 7.3]에 따르면 삼성전자의 글로벌 스마트폰 시장 점유율은 얼마인가?","2024년 3/4분기 기준 삼성전자의 글로벌 스마트폰 시장 점유율은 18.9%로 나타났다. 이는 전년동기(2023년 3/4분기) 19.8%와 비교하면 0.9%포인트 하락한 수치로, 삼성의 점유율이 소폭 감소했음을 의미한다.",이에 따라 삼성전자의 세계시장 점유율도 전년동기(19.8%)에 비해 0.9%p 낮아진 18.9%를 나타내었다.,2024_3사분기_주력산업_모니터링_보고서.pdf,31~33
Simple,2024년 3분기 기준 LG에너지솔루션의 매출액은 얼마였나?,"보고서의 표(표 8.5)에 따르면 2024년 3분기 LG에너지솔루션의 매출액은 68.8(단위: 천억원)이며, 전년 동기 대비 증감률은 -16.4%로 매출이 감소한 것으로 나타난다. 즉 2024년 3분기 LG에너지솔루션은 68.8(천억원)의 매출을 기록하며 전년동기대비 약 16.4% 감소한 실적을 보였다.",24.3/4분기 68.8 (-16.4) 39.4 (-29.8) 5.2 (-71.1),2024_3사분기_주력산업_모니터링_보고서.pdf,37~39
Reasoning,2024년 4분기 기준 에코프로비엠(양극재) 매출 감소세가 지속될 것으로 전망된 주된 원인은 무엇인가?,보고서는 2024년 4분기에 에코프로비엠 등 양극재 업체들의 매출 감소세가 이어질 것으로 본 이유를 전방 산업의 연말 재고 조정에 따른 수출물량 감소와 주요 원재료 가격의 하락 지속에서 찾고 있다. 즉 연말 재고 정리로 수출물량이 줄어드는 가운데 원재료 가격 하락이 판매가격을 낮추어 결국 양극재 매출 하방 요인으로 작용할 것으로 전망된다.,"4/4분기 중 이차전지 및 양극재 수출은 감소세를 이어갈 것으로 전망된다. 전통적으로 4/4분기에는 전방산업의 연말 재고 조정 등으로 수출물량이 감소하는 데다, 주요 원재료 가격의 하락세가 이어지고 있어 이차전지·양극재 판매가격이 낮은 수준으로 유지될 전망이다.",2024_3사분기_주력산업_모니터링_보고서.pdf,37~39
Visual,"2024년 1분기 기준, [그림 8.3] 주요 광물 가격에서 리튬 가격의 최근 추세는 어떠했는가?","그림 8.3의 시계열을 해석하면 리튬 가격은 2021~2022년 기간에 큰 폭으로 상승한 뒤 2023년 이후 급격히 하락하는 추세를 보였고, 2024년 1분기에도 하락세가 지속된 것으로 나타난다. 보고서도 주요 광물(리튬 등) 가격의 하락세가 이어지고 있음을 지적하며 이로 인해 이차전지·양극재 판매가격의 하락 압력이 지속되고 있다고 설명하고 있다.","[그림 8.3] 주요 광물 가격
주요 광물 가격의 하락세가 지속되면서 이차전지와 양극재 판매가격의 하락세도 이어져 왔다.",2024_3사분기_주력산업_모니터링_보고서.pdf,37~39
Simple,2024년 2/4분기 기준 국내 조선사의 신규 수주가 전년동기대비 몇 % 증가했나요?,"2024년 2/4분기 기준 국내 조선사의 신규 수주는 전년동기대비 21.2% 증가했습니다. 해당 분기 신규 수주는 총 248.8만CGT로 집계되었고, 이로 인해 국내 조선사의 시장점유율도 2023년 2/4분기 15.9%에서 22.5%로 상승했습니다.",2024년 2/4분기 중 국내 조선사의 신규 수주는 248.8만CGT로 전년동기대비 21.2% 증가하였다.71) 이에 따라 국내 조선사의 시장점유율은 2023년 2/4분기 15.9%에서 22.5%로 상승하였다.,2024_2사분기_주력산업_모니터링_보고서.pdf,21~23
Reasoning,2024년 2/4분기 기준 선박 생산이 전년동기대비 증가한 주요 원인은 무엇으로 보이나요?,"2024년 2/4분기 기준 선박 생산이 전년동기대비 증가한 주요 원인은 신규 수주의 증가(특히 LNG선·유조선·가스선 중심)로 생산 수요가 늘어난 점과, 향후 고부가가치 선박 수주 지속 및 높은 신조선가, 후판가격 하향 안정화와 인력난 완화 등 업황 개선 요인들이 작용했기 때문으로 보입니다. 요약하면, 수주 증가에 따른 수요 증대와 가격·비용·인력 측면의 개선 기대가 복합적으로 생산 증가를 견인했습니다.","2024년 2/4분기 중 국내 조선사의 신규 수주는 LNG선, 유조선, 가스선을 중심으로 전년동기대비 21.2% 증가하였다. 수주 잔량은 전분기대비 소폭 감소하였으나 선박 생산 및 수출은 양호한 증가세를 보였다.

향후 조선업의 수익성은 고부가가치 선박의 수주 지속, 높은 신조선가 등으로 개선세가 확대될 전망이다. 후판가격 하향 안정화, 인력난 완화 등도 업황 개선 요인으로 작용할 것으로 보인다.",2024_2사분기_주력산업_모니터링_보고서.pdf,21~23
Visual,2024년 2/4분기 말 기준(표 5.1) 국내 조선사 수주 잔량에서 LNG선과 컨테이너선의 수치(만CGT)와 각각의 비중은 얼마인가요?,"2024년 2/4분기 말 기준 국내 조선사 수주 잔량에서 LNG선은 2,110.0만CGT로 가장 높은 비중(55.6%)을 차지했고, 컨테이너선은 898.6만CGT로 두번째로 큰 비중(23.7%)을 차지했습니다.","선종별 수주 잔량은 LNG선이 2,110.0만CGT로 가장 높은 비중(55.6%)을 차지하며, 이어 컨테이너선(898.6만CGT, 23.7%), 유조선(344.3만CGT, 9.1%), 가스선(325.9만CGT, 8.6%) 등의 순으로 나타났다.",2024_2사분기_주력산업_모니터링_보고서.pdf,21~23
Simple,"2024년 4분기 기준, 반도체 수출은 어떤 제품 중심으로 양호한 흐름을 이어갈 것으로 보고서에서 전망하고 있는가?","보고서는 2024년 4분기 중 반도체 수출이 AI 반도체를 중심으로 양호한 흐름을 이어갈 것으로 전망하고 있으며, 다만 PC·모바일 등 IT 전방수요 회복 속도의 불확실성이 존재한다고 설명한다. 또한 수요가 많은 고성능 제품(HBM, QLC SSD 등) 생산에 주력할 것으로 예상된다고 덧붙이고 있다.","4. 2024년 4/4분기 중 반도체 수출은 AI 반도체를 중심으로 양호한 흐름을 이어가겠으나, PC·모바일 등 IT 전방수요 회복 속도는 불확실성이 높은 상황이다. 이에 따라 반도체 생산도 수요가 많은 고성능 제품(HBM, QLC SSD 등) 생산에 주력할 것으로 보인다.",2024_3사분기_주력산업_모니터링_보고서.pdf,7~9
